"","baseMean","log2FoldChange (cortex over medulla)","lfcSE","stat","pvalue","padj"
"FLJ41200",5.9494173701622,-1.85235881143076,0.631672735614525,-2.93246598593287,0.00336281756658894,0.0164609919884528
"NFIB",2788.78969596175,0.274961932132767,0.156181692067029,1.76052601616558,0.0783186603776898,0.192093119152595
"ZDHHC21",1267.27525407385,-0.56024218114255,0.138795992988086,-4.03644348140973,5.42675912916485e-05,0.000513065880005059
"CER1",8.3987799746365,-0.523284965546528,0.511323917463223,-1.02339231096923,0.306122393409659,0.497541002985069
"FREM1",2143.5493156937,-0.535445189241539,0.217506947447211,-2.46173832848025,0.0138265501586115,0.0515566277100769
"LOC389705",3.25067754204382,-0.145221136276649,0.685960533985712,-0.211704797990133,0.832337344690499,0.907972327129297
"TTC39B",658.609673679096,0.891957732140211,0.199904117031953,4.46192777509249,8.12256049793492e-06,9.95865588914e-05
"SNAPC3",546.902930495752,-0.186788544553544,0.148226683552099,-1.26015465014362,0.207613578825359,0.382739278165948
"PSIP1",629.569294286805,-0.259994001510725,0.144416945848414,-1.80030120415111,0.071813090886224,0.18026927173747
"CCDC171",231.734759546167,-0.395150977627459,0.229385505478705,-1.72265015962023,0.0849518084035236,0.203817719463423
"C9orf92",1.04821942718847,0.366592830736945,0.732669477774907,0.500352262319259,0.616827060602419,NA
"BNC2",813.791315654847,1.81195533263803,0.217785547532092,8.31990622504933,8.80329339906843e-17,1.52538482082973e-14
"CNTLN",307.204291553962,0.0477689984928142,0.177568397120787,0.269017456187997,0.787916249590881,0.88136426913788
